Title,Type,Notes
109 UT,Field,Northern Utah rotor-wing region (109 RW fleet)
CO/NM,Field,Colorado + New Mexico
ID/NV,Field,Idaho + Nevada
NC Region,Field,North Carolina + South Carolina + Virginia
PAGE,Field,Page Arizona
SLC,HQ,SLC headquarters — QA / Schedulers / Parts / DOM
SLC FW,Field,SLC Fixed-Wing operations
UT/AZ,Field,Southern Utah + Northern Arizona
WI Region,Field,Wisconsin
WOODSCROSS,Field/HQ,Bountiful Utah maintenance center
WY/MT,Field,Wyoming + Montana
RW Rover,Rover,Rotor-Wing roving mechanics (cross-base)
